season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2026,Devin,Hyatt,WR,Arizona,Miami (OH),2026-01-16T21:14:00.000Z,0.85,3.0,Immediate
2026,Jordan,Brown,OT,Arizona,Georgia State,2026-01-13T00:13:00.000Z,0.85,3.0,Immediate
2026,Eduwa,Okundaye,EDGE,Arizona,Washington State,2026-01-08T19:52:00.000Z,0.86,3.0,Immediate
2026,Keyan,Burnett,TE,Arizona,UNLV,2026-01-13T17:34:00.000Z,0.86,3.0,Immediate
2026,Stacy,Bey,LB,Arizona,Sam Houston,2026-01-07T17:01:00.000Z,0.85,3.0,Immediate
2026,Jshawn,Frausto-Ramos,S,Arizona,Washington State,2026-01-09T17:33:00.000Z,0.85,3.0,Immediate
2026,Chancellor,Owens,DL,Arizona,Texas State,2026-01-12T22:46:00.000Z,0.85,3.0,Immediate
2026,Kayden,Luke,TE,Arizona,West Virginia,2026-01-19T03:18:00.000Z,0.85,3.0,Immediate
2026,Siale,Uluave,IOL,Arizona,,2026-01-08T01:09:00.000Z,,3.0,Immediate
2026,Gianni,Edwards,CB,Arizona,Montana State,2026-02-02T17:57:00.000Z,,3.0,Immediate
2026,Jarra,Anderson,DL,Arizona,Sam Houston,2026-01-12T16:56:00.000Z,0.85,3.0,Immediate
2026,Jack,Luttrell,S,Arizona,Auburn,2026-01-18T18:17:00.000Z,0.85,3.0,Immediate
2026,Jeremiah,Patterson,WR,Arizona,,2026-01-02T07:44:00.000Z,,2.0,Immediate
2026,Devin,Dunn,S,Arizona,Montana,2026-01-16T15:18:00.000Z,,,Immediate
2026,Kaleb,Bilal-Jones,DL,Arizona,Iowa State,2026-01-20T22:16:00.000Z,0.84,3.0,Immediate
2026,Marquis,Groves-Killebrew,CB,Arizona,California,2026-01-13T19:47:00.000Z,0.86,3.0,Immediate
2026,Braedyn,Locke,QB,Arizona,Tarleton State,2026-01-13T14:34:00.000Z,0.85,3.0,Immediate
2026,Tyler,Prasuhn,K,Arizona,San Diego State,2026-01-16T15:21:00.000Z,,2.0,Immediate
2026,Michael,Wooten,IOL,Arizona,South Florida,2026-01-05T20:24:00.000Z,0.85,3.0,Immediate
2026,Rex,Haynes,WR,Arizona,Utah State,2026-01-11T19:43:00.000Z,0.82,3.0,Immediate
